,user_name,user_description,text,hashtags,source
23,Wendy Edelson,#watercolor artist / childrens book #illustrator and #writer /pet portrait and fabric/licensing #artist /garden and scent besotted,"@TheLastRefuge2 How about woke Nike sports bras and leggings, Oil of Olay and Tampax, all brought to you by XY Dylan Mulvaney!
🤡🤡🤡🤡🤮
Ron is a coward",,Twitter for iPhone
24,에라 모르겠다 🇲🇾,‼️Fan Account‼️,Pmo x Nike ✔ x 🌼 https://t.co/B95ohsEpQL,,Twitter for Android
25,Droop,L's anything else I don't know https://t.co/gGmmPLCRd5,Guilty of wearing Adidas track pants with js lol,,Twitter for iPhone
26,Dragon Movie Guy,"I'm dragonmovieguy!  I LOVE movies of all kinds, just as long as they're good!  

Check out my Movie Reviews, & I'll let you know which ones to watch!","#TheWorstSpoiler of #AirCourtingALegend is that #MichaelJordan signs w/ #Nike &amp; forms #AirJordan #AirJordanBrand #BasketballShoes at the end of #AirMovie.

It's the #WorstSpoiler b/c we know BEFORE #MattDamon 's #SonnyVaccaro makes the signing of happen.

 https://t.co/JWvqIhdV61","['TheWorstSpoiler', 'AirCourtingALegend', 'MichaelJordan', 'Nike', 'AirJordan', 'AirJordanBrand']",Twitter Web App
27,Fandigi Store,"Welcome to my shoes store 👇👇👇 
Good shoes take you good places 👟👟👟","Air Jordan 4 Retro Td ‘black Cat’ 2020
https://t.co/1wjAJsfGwX
#SNEAKERS #Shoes #Jordan1 #Nike #authentic #StocksToBuy #StockX #fandigistore #Jordan #airforceone https://t.co/Ukf3s8tdSf","['SNEAKERS', 'Shoes', 'Jordan1', 'Nike', 'authentic']",Twitter Web App
28,🧨💋,Licensed Cosmetologist #StylesByMoni ✨@HeiressHairCo | IG: MoniTheStylistDTX,@Nike_Check_Mj Same lmao,,Twitter for iPhone
29,Genius👨🏾‍🔬,Fly|High|Paid|Pömé ⛹🏾‍♂️,@Nike_Check_Mj Bro the buccs dont need giannis to beat miami. Miami literally needs tyler herro to do anything,,Twitter for iPhone
30,Kim Loftis,"Photographer, Full Time picker and seller,  Conservative patriot 
Fitness lover.",Check out this listing I just added to my #Poshmark closet: Nike Zoom Rival S 9 Track &amp; Field youth US 5. Black &amp; white 907564-005. https://t.co/BhdbFmrfPV #shopmycloset @poshmarkapp,['Poshmark'],Poshmark
31,Alex Cousins,"If A Croc🐊 And Lion🦁 Had A Baby,It Might Look Like Me 🤷🏿‍♂️",I don't even drink like that any more but @budlight ....y'all know y'all done messed up right ? @Nike  y'all done messed up too. Take notes.,,Twitter for Android
32,Women's Shoes,Women's Shoes. Selected Items. Deals. Product Information. Daily Updated. (eBay Links),New Nike Dunk Low “Siempre Familia” SB air force 1 crocodile snake lizard rare https://t.co/MCEfgFMcEE eBay https://t.co/Zu3cfHLxVW,,dlvr.it
33,Kids Clothing Shoes,"Kids Clothing, Shoes and Accessories. Selected Items. Deals. Product Information. Daily Updated. (eBay Links)",BRAND NEW NIKE AIR GRIFFEY MAX 1 FRESHWATER GS SZ 4.5Y DO1385-001 BLACK SNEAKERS https://t.co/8znqIN5gwZ eBay https://t.co/y1K9dOWnjz,,dlvr.it
34,Men Shoes,Men's Shoes. Selected Items. Product Information. Daily Updated (eBay Links),2020 Nike ID Air Max 1 By You Anniversary Black/White CN9671-991 Men’s 10 hold https://t.co/J81jc9IZbL eBay https://t.co/FSrewGrfpw,,dlvr.it
35,David,"#BostonCollege #Patriots #ResistBiden  #DOUBLESTANDARDS #censorship #HeavyMusic My first account I had since 10' has been purged, on second account.",@Leighincognito @Nike Sketchers are good,,Twitter for Android
36,Snwbny65,"Cat lover, independent, hard working","@2Reason0225 @ERIC_1A What do you call Dylan prading around like a little girl advertising budlite,, Tampax, Nike sports wear for women, cosmetics and lord knows what else",,Twitter for Android
37,Jocelyn,Data Librarian. not really a book person. Go Bills.,@itsmegangraves @birdbrainmd3 Yup. I know someone who got fired from Nike for chasing after a shoplifter.,,Twitter for iPhone
38,juan manaè 🫶🏽,,jay got me thee cutest nike pull over 🥹 he knows me very well,,Twitter for iPhone
39,Magico.,SFA Alum | Chances make champion | 🪂 @threadedww,@_MoniMonroe I ain’t 30 YET but gahdamn 😂,,Twitter for iPhone
40,Kicks Deals,"The #1 source for new releases, deals, coupons and more on sneakers. https://t.co/waUm7Ylwll https://t.co/kNCHBdapZs Canada: @KicksDealsCA","@TheMike_B Did you try the code on a different color option other than what we featured? Promo is only active for select colors. Also, be sure you are logged into your Nike+ account.",,Twitter Web App
41,Nacho Jesus,"Just a normal dude abiding by and obeying the laws of quantum physics in the multiverse. Also, be nice to me, I have powerful friends so there's that...",@Michaeldoge420 @memesus77 @PryZmRuleZZ @tearsintherain1 @QuantumFekT @TheKatsKid1 @gabriel_foti @IamCelineMarie @StarshipDock @ALi3NKAT @watawatadayone @AndreMillaire @Lionelclone1 @lottkaren54 @SpadersNFTs @Rajtwittz @DogeAccept @musicphantom69 @jewel_gardener @d1dave123 @dawnheartLRPS @sofakingdoge2nd @kym_head @YeshuaisSavior @PiaPanda96 @PleiadesPlZ @YadiraRussell9 @YOUniverse999 @MaximoBanksy @bugaloo_2 @13dogecoin @boozelee86 @h_artsNcrafts @MarshaW15161057 @codehurtsbrain @elonmusk @Tesla @Tesla_Megapack @Grimezsz @dogecoin @Nike @historydefined @HistoryInPics @NelsonMandela @YourHomeMars @SpaceX ? Seriously? https://t.co/UBjB1qswFA,,Twitter for Android
42,The Biggest O6/11 ♊️,IG: @JayySavageeHoee | Money Ⓜ️otivated 📌 Cash Stimulated 💰| Florida Boy ☀️,And don’t mind my lil Nike Hoochie Daddy shorts 😭 https://t.co/C3yAhSvWOW,,Twitter for iPhone
43,KZ,Serious jogger🏃‍♂️/ Fender Duo Sonic🎸,Ran 12.02 km with Nike+ Run Club #NikePlus #NRC https://t.co/BpaUDBjXeU,"['NikePlus', 'NRC']",Twitter for iPhone
44,Sean Francis,"Jays, Flames, Seahawks and anything Beer League. Oh, and Tool. Tool Effing Tool.","@Eve6 That Adidas track suit, tho",,Twitter for Android
45,Jamaal Al-Din (227's YouTube Chili'🌶 Walmart Mix),227's YouTube Chili'🌶️ Gillette Spicy' NFL MLB NHL NBA Mix! https://t.co/yHc7dwlK4i https://t.co/yIuTUY37Rl https://t.co/lVjNtLwWwe https://t.co/acS5SO5PiO,NBA Leader: 28.8 PPG 227's YouTube Chili' LeBron Chili' James 28.8 PPG 8.4 RPG 6.8 APG #LakeShow Spicy' https://t.co/y8hcVSUc1R https://t.co/3bgzz5yKhL #LeBron #KingJames says he knew from day one Austin Reaves would be great 😂:… https://t.co/WHkK608twH https://t.co/sfFFsBA7cx,['LakeShow'],dlvr.it
46,mamito,,"‼ FLASH SALE ‼

adidas ORIGINALS Nizza Platform Shoes Wanita Putih Sneaker FV5322

⛔️ DISKON : 63%

Checkout Sekarang 👇
https://t.co/kgV7TCwlgs https://t.co/gIGMUyY4V7",,RetweetBotAz
47,NORTH METRO ELITE,"GA's premier indy travel basketball program- B/G teams 3rd-11th; Hoopseen; RYZE; OTR; Hoop Group; PH

IG: @nmebasketballgroup
Website:  https://t.co/XHY88oJGuu","Annnnd....

At 9 PM, NME wins yet another trophy.  🤭

7th Grade-Ford rallies from 4 down late to defeat brand name Wood Elite 49-45 in CHAMPIONSHIP Game of ""15th Annual HOOPS2DUNK Cancer Classic!""

🏀3 top-ten wins
🏀Nike EYBL win
🏀Champions!

NME....there is no substitute. https://t.co/go7tbtfJmZ",,Twitter Web App
48,Elite_Resale_Shop,,Check out Nike Air Jordan XI 11 Retro Gift Pack UNC Legend Blue 378049-117 Infant 4C https://t.co/0urYBNAK0x #eBay via @eBay,['eBay'],Twitter Web App
49,Larry Lake,,"Boycott Nike!!!  But I have already a long time ago!!  I Love Reebok!! 

Nike Does Something Even Worse Than Bud Light with Latest Move - And Kids Are Involved via @WestJournalism https://t.co/LFya5QLvRN",,Twitter Web App
50,🐾 Suzy 🐾,"If you think socialism is a good idea, too many of your gray cells have hit the bug light.

“Say no to males competing as females.”","@WordWanderer @thedailybeast @olay @Nike @Tampax I didn't say they were a threat. I said it's weird to have men selling women's products, especially intimate products. 

Dylan is a parody of what a female actually is. He's a stereotype - everything we have fought to overcome. 

Try not being a misogynist.",,Twitter Web App
51,Solar Powered,Educator. Sports Fan. Stock Market Follower. Husband. Dad. Proud dog and cat owner. EV Car Lover. Just your average dude. #GoPats #WWE #Stonks $MrFlackCash,"@choppaMoose @BradleyCF_22 @Nike you had like an entire day to come back and thats it, really? like thats the most creative shit you thought of, and you were like let me run to twitter and hit enter. Sorry man, I feel bad for ya.",,Twitter Web App
52,Elite_Resale_Shop,,"Check out Nike Air Jordan Carmelo Anthony Jersey ""BMORE"" 5-29-1984 Boy's Size XL https://t.co/em1PjpSt7P #eBay via @eBay",['eBay'],Twitter Web App
53,MK,,Biggie you have on a skirt yeezy foams and a skully😭😭😭😭😭😭😭 pls go lay down,,Twitter for iPhone
54,Rosie thee Stampede✌️❤️,Then came along a boy with curse manipulation,Spit out my drink Whys Nike doing the Knives fit https://t.co/4jPfXim85f,,Twitter for iPhone
55,Restock4Sure,"Subscribe for Free °beta°
Push notification with profitable products 👨‍🍳","Nike EU Restock: Air Jordan 1 Zoom Cmft 2 Men'S Shoes

🇩🇪: https://t.co/58hLz9eViW
🇫🇷: https://t.co/I3lkFMiW2F
🇮🇹: https://t.co/p1kCYjZPbr
🇳🇱: https://t.co/fXFFiHz2nb
🇬🇧: https://t.co/Mq4swcs5Kt

#Sneakers https://t.co/nD25CeNq3E",,Restock4S
56,S4S - Sneakers Restock 💯 FREE Service !,🔎 1st Ultimate Sneakers Finder 🤑👟 Compare +40k products price over 200 Shops | 🗓️ Calendar / 🔗 Links,"Nike EU Restock: Air Jordan 1 Zoom Cmft 2 Men'S Shoes

🇩🇪: https://t.co/XGzAmZnCdA
🇫🇷: https://t.co/fGXCiFSFsa
🇮🇹: https://t.co/og4gikcQed
🇳🇱: https://t.co/fj50gamlYR
🇬🇧: https://t.co/VtBiffkYnB

#Sneakers https://t.co/LF35in77pK",,sneaks4sure
57,NIKE Ω,🍊🥂🪙,@ML833_ But 99% absolutely,,Twitter for iPhone
58,Jay Lando,"Host of Review Sessions with Jay Lando on YouTube - sneaker head, tech enthusiast, photographer, surfer, traveler, and adventurer.",@SneakerVisionz Give us different color options @Nike,,Twitter for iPhone
59,NIKE Ω,🍊🥂🪙,@ML833_ Or being a 6 LP 🤣,,Twitter for iPhone
60,#SneakerScouts,"The #1 source for sneaker news, release dates, sales, and general information! info@SneakerScouts.com #SneakerScouts","#SneakerScouts The adidas Harden Vol. 7 'Core Black' is now available via @adidasUS! |$160| #ad @JHarden13 

&gt;&gt;&gt; https://t.co/Q8hsSCcCuA https://t.co/UatsMpPmxD","['SneakerScouts', 'ad']",Hootsuite Inc.
61,Jamaal Al-Din (227's YouTube Chili'🌶 Walmart Mix),227's YouTube Chili'🌶️ Gillette Spicy' NFL MLB NHL NBA Mix! https://t.co/yHc7dwlK4i https://t.co/yIuTUY37Rl https://t.co/lVjNtLwWwe https://t.co/acS5SO5PiO,NBA Leader: 26.6 PPG CONFIRMED NOW! I GOT EVERYONE BY SURPRISE! 227's YouTube Chili' Jaylen Chili' Brown 26.6 PPG 3.9 RPG 3.5 APG #BleedGreen Spicy' https://t.co/qRstckKnV8 Hoops227TV https://t.co/3bgzz5yKhL #Cal #Bears UPDATED!… https://t.co/wkeiZ4S6KM https://t.co/midelmL6oX,,dlvr.it
62,Jamaal Al-Din (227's YouTube Chili'🌶 Walmart Mix),227's YouTube Chili'🌶️ Gillette Spicy' NFL MLB NHL NBA Mix! https://t.co/yHc7dwlK4i https://t.co/yIuTUY37Rl https://t.co/lVjNtLwWwe https://t.co/acS5SO5PiO,NBA Leader: 26.6 PPG 227's YouTube Chili' Jaylen Chili' Brown 26.6 PPG 3.9 RPG 3.5 APG #BleedGreen Spicy' https://t.co/qRstckKnV8 Hoops227TV https://t.co/3bgzz5yKhL #Cal #Bears Hand Injury SPLITS OPEN in Celtics Game 1 Win:… https://t.co/TKYsF17RBa https://t.co/midelmL6oX,['BleedGreen'],dlvr.it
63,Arizona Coyotes = Wagon,"The NHL refs have it hard, this account is meant to stand up for them. He/She/Me/Wumbo",@ClayTravis Nike and not even close. They didn’t want to find an actual woman to promote sports bras? That’s disgusting.,,Twitter for iPhone
64,Smokey_Robinson_1620,Masshole. Gamer. Stoner. Hustler. Sneaker head. I reside in a medical and recreational state. I don’t care if you don’t like it 🤷🏼‍♂️👽✌🏼#MmemberVille,Top 3 five #Jordan5 #Sneakers #Sneakerhead #KOTD https://t.co/iI53Hnyw5d,"['Jordan5', 'Sneakers', 'Sneakerhead', 'KOTD']",Twitter for iPhone
65,Jamaal Al-Din (227's YouTube Chili'🌶 Walmart Mix),227's YouTube Chili'🌶️ Gillette Spicy' NFL MLB NHL NBA Mix! https://t.co/yHc7dwlK4i https://t.co/yIuTUY37Rl https://t.co/lVjNtLwWwe https://t.co/acS5SO5PiO,NBA Leader: 24.5 PPG Why 227's YouTube Chili' Nikola Chili' Jokić 24.5 PPG 11.8 RPG 9.8 APG #MileHighBasketball Spicy' https://t.co/lR0PTVDt1O Hoops227TV https://t.co/3bgzz5yKhL Needs To CHANGE HIS GAME To Win A Championship: In… https://t.co/oBcbWvqEXK https://t.co/sfFFsBA7cx,['MileHighBasketball'],dlvr.it
66,Raechee,"❤️🦾striving to help humanity , everyday ,forever 👍🤩🦾🔥❤️",@nachodelaheysus @QuantumFekT @Michaeldoge420 @TheKatsKid1 @gabriel_foti @tearsintherain1 @IamCelineMarie @StarshipDock @ALi3NKAT @watawatadayone @AndreMillaire @Lionelclone1 @PryZmRuleZZ @lottkaren54 @SpadersNFTs @Rajtwittz @DogeAccept @musicphantom69 @jewel_gardener @d1dave123 @dawnheartLRPS @sofakingdoge2nd @kym_head @YeshuaisSavior @PiaPanda96 @PleiadesPlZ @YadiraRussell9 @YOUniverse999 @MaximoBanksy @bugaloo_2 @13dogecoin @boozelee86 @h_artsNcrafts @MarshaW15161057 @codehurtsbrain @elonmusk @Tesla @Tesla_Megapack @Grimezsz @dogecoin @Nike @historydefined @HistoryInPics @NelsonMandela @YourHomeMars @SpaceX Holy motherload 🥹👀👀👀,,Twitter for iPhone
67,Jamaal Al-Din (227's YouTube Chili'🌶 Walmart Mix),227's YouTube Chili'🌶️ Gillette Spicy' NFL MLB NHL NBA Mix! https://t.co/yHc7dwlK4i https://t.co/yIuTUY37Rl https://t.co/lVjNtLwWwe https://t.co/acS5SO5PiO,"NBA Leader: 29.4 PPG ""Nothing, Dubs has DNA Champ"" - 227's YouTube Chili' Stephen Chili' Curry 29.4 PPG 6.1 RPG 6.3 APG #DubNation Spicy' https://t.co/CdaXUKIpLa Hoops227TV https://t.co/3bgzz5ycsd #Davidson #Wildcats send warn… https://t.co/TNmca8y8l8 https://t.co/sfFFsBzzmZ",,dlvr.it
68,ⵣ,-,@Talbilinho @tunisiefootfr Nike?,,Twitter for iPhone
69,khrista_lou,"Wife, Mom, Teacher, Reader, Tech Enthusiast. Opinions are all mine. I wear my mom hat often.","@CrownAndJoke @codylusnia Hokas were my favorite after trashing my knee. Walked Universal Studios and Disneyland (different years) both in Hokas and had zero issues. In Nike now, but don't love them as much.",,Twitter for iPad
70,Xavey,https://t.co/o6IlFuCwvL - getting streaming equipment,2022 Yeezy Turtle Doves For Sale https://t.co/R9lCoPo2af #eBay via @eBay,['eBay'],Twitter for iPhone
71,Gordon Tredgold,"I Help Good Leaders Develop into Great Leaders.

 +34 64 11 50 890 https://t.co/7P2cJbnOUG","Nike.- #quote #image https://t.co/0APfcQl7yq
https://t.co/a5zj3ax58J https://t.co/3IizwDQDrW","['quote', 'image']",The Social Jukebox
72,Free Speech,MAKING UP WORDS IS NOT FREE SPEECH. WOKE IS NOT AN ADJECTIVE. YOUR PRONOUN MEANS NOTHING. I WILL FIGHT WOKEISM FOR AS LONG IT TAKES.,@JBmode27 @jenny4elon @Nike @dotSWOOSH This is part of the problem. https://t.co/acPWHewgMQ,,Twitter for Android
73,Fat Kid Deals,💸 Finding you the best deals on the internet. Official account for Fat Kid Deals. @AmazonAssociate member. Tweets contain affiliate links. 💸,"Razer BlackShark V2 Pro Wireless Headset w/ Spatial Surround Sound, $47, reg $175
open box return w/ warranty- NOT used
https://t.co/ELO9c9UNPR

Men's Adidas Ultraboost, $88, retail $190!
https://t.co/CvvhMPGowj 
 
Men's Adidas Lite Racer Adapt 3, $35!
https://t.co/XXyENC7vUw https://t.co/mf6ct7pgbo",,MeetEdgar
74,TheSneakerFirm,Sneaker News | Deals | Restock Info | YouTube: Thesneakerfirm,"Nike Sportswear Fleece ""Galaxy Tie-Dye"" Cargo Pants are 50% OFF + Free Shipping

Use code MOMSDAY

Buy Here: https://t.co/jtGAHY7ezj https://t.co/Te56GjZRKJ",,Hootsuite Inc.
75,"""Sassy Nana"" 🇺🇦🌎🌘☯️☮️🇨🇦🇺🇸","#VoteBlue, #BLM, #LGBTQ 🏳️‍🌈, Psychic Medium/Empath. Lupus warrior. Character: How you treat those who can give you nothing. Kindness matters. 💗 NO LISTS!!",@carbage_justin @scout_nj @thedailybeast @olay @Nike @Tampax She couldn’t answer anyway.,,Twitter for iPhone
76,Tye Theodorakidis,Sneaker head 👟👌😎 Athlete 🏅🏈⚽⚾🏀 Gym LOVER 💪. Greek Canadian 🇬🇷🇨🇦. #BLM,@samuraijaxon I would smash her with knowing she’s had more bbc then a pair of Nike shorts,,Twitter for iPhone
77,StockXSupply,"StockX monitor for price updates, deals, and more powered by @TheSiteSupply. Bot available for Discord now! Tweets contain affiliate links","21% ($40) under retail
Nike Air VaporMax Plus Triple Black
Size: 9.5 — Retail: $190

BUY NOW ➡ $150
https://t.co/0ugOe2JjdW https://t.co/9W9znge2qB",,StockX Deals by SiteSupply
78,Woke Bro 3.0,"Sanctimonious, hypocritical, myopic, condescending white liberal. Trump is worse than Hitler! ✊🏿🏳️‍⚧️🇺🇦🏳️‍🌈😷 6X💉White ppl are the scourge of humanity!",@atomicgrace9 @DirkSkandal @JennaEllisEsq @ClayTravis Cool. So any man can be a woman if they feel like it and then get sponsored by Nike.,,Twitter for iPhone
79,NIKE Ω,🍊🥂🪙,Ok drake 🤣🤣 https://t.co/zSqTash0Lw,,Twitter for iPhone
80,Miss Beehavin,,@Nike @ronaldacunajr24 @nikediamond @Braves Next sports bra model?,,Twitter Web App
81,Restock4Sure,"Subscribe for Free °beta°
Push notification with profitable products 👨‍🍳","Snipes EU Restock: Nike Air Max 97

🇩🇪: https://t.co/d4n8Vws5YG
🇪🇸: https://t.co/EWaSpRMOJF
🇫🇷: https://t.co/iOhpzwgjlr
🇮🇹: https://t.co/SorxsY2PeF
🇳🇱: https://t.co/zEbnIasEnL

#Sneakers https://t.co/KIZaFdHTB0",,Restock4S
82,S4S - Sneakers Restock 💯 FREE Service !,🔎 1st Ultimate Sneakers Finder 🤑👟 Compare +40k products price over 200 Shops | 🗓️ Calendar / 🔗 Links,"Snipes EU Restock: Nike Air Max 97

🇩🇪: https://t.co/YGWlaAogem
🇪🇸: https://t.co/egUXJ7NYEO
🇫🇷: https://t.co/mj5ItAMvJR
🇮🇹: https://t.co/HlBl2JPyiN
🇳🇱: https://t.co/SDUltGEzFN

#Sneakers https://t.co/YAzQd4FU99",,sneaks4sure
83,Magico.,SFA Alum | Chances make champion | 🪂 @threadedww,@FaimeHarris Losing a MVP compared to a 3rd option…,,Twitter for iPhone
84,Restock4Sure,"Subscribe for Free °beta°
Push notification with profitable products 👨‍🍳","Snipes EU Restock: Nike Wmns Gamma Force

🇩🇪: https://t.co/fRnxmoNymc
🇪🇸: https://t.co/k2Qu9MWsE1
🇫🇷: https://t.co/36PRT9jFdX
🇮🇹: https://t.co/88MRtrCq0L
🇳🇱: https://t.co/ayxiTIkFb9

#Sneakers https://t.co/L1Euip5878",,Restock4S
85,S4S - Sneakers Restock 💯 FREE Service !,🔎 1st Ultimate Sneakers Finder 🤑👟 Compare +40k products price over 200 Shops | 🗓️ Calendar / 🔗 Links,"Snipes EU Restock: Nike Wmns Gamma Force

🇩🇪: https://t.co/i7809q1xzF
🇪🇸: https://t.co/yCXI2ZSArb
🇫🇷: https://t.co/nx8CYWxnvU
🇮🇹: https://t.co/jLmewWRVW8
🇳🇱: https://t.co/g6On1oE0Te

#Sneakers https://t.co/Gzttj1fNCU",,sneaks4sure
86,Alberto Ag,🔞,"Nike en mis shorts 
NiKe en mis pies",,Twitter for Android
87,KF,"You can raise your potential, when you help someone to reach their potential ~~living for others helps you find great freedom and inner peace.",@gat0rs15 @NotMeUs76 @thatsuno @__diorrx__ Jordan is just wearing regular Nike/Jordan gear lol. Maybe they were playing skins/shirts. Lebron has talked about this picture and said they were on the same team. It took place his rookie year.,,Twitter for iPhone
88,Restock4Sure,"Subscribe for Free °beta°
Push notification with profitable products 👨‍🍳","Nike US Restock: Air Jordan 1 Mid Se Men'S Shoes

🇺🇸: https://t.co/PXMrDMpLHW

#Sneakers https://t.co/PezUUkSMkY",['Sneakers'],Restock4S
89,S4S - Sneakers Restock 💯 FREE Service !,🔎 1st Ultimate Sneakers Finder 🤑👟 Compare +40k products price over 200 Shops | 🗓️ Calendar / 🔗 Links,"Nike US Restock: Air Jordan 1 Mid Se Men'S Shoes

🇺🇸: https://t.co/iT30zK5HU8

#Sneakers https://t.co/A9LIjnQr0s",['Sneakers'],sneaks4sure
